filename,tempo_bpm,duration_s,num_onsets,num_beats,rms_mean_db,rms_std_db,dynamic_range_db,crest_mean,crest_std,zcr_mean,spec_flat_mean,centroid_mean_hz,harm_perc_ratio,error
Midnight Coffee Cup.mp3,95.7,237.36,688,360,-17.2,5.66,48.9,2.97,0.74,0.0686,0.0134,2095.3,3.677,
Midnight Coffee Cup_job3_track2.mp3,89.1,251.92,697,357,-17.4,5.96,49.4,3.13,0.82,0.0974,0.0263,2745.9,3.425,
Midnight Coffee Glow.mp3,95.7,186.96,522,271,-17.4,6.16,50.1,2.97,0.67,0.0589,0.0067,1800.8,5.134,
Midnight Coffee Glow_job10_track2.mp3,89.1,164.6,444,227,-19.6,6.78,49.3,2.94,0.72,0.0401,0.0032,1271.8,3.169,
Midnight Coffee Glow_job37_track1.mp3,71.8,139.72,286,155,-19.1,5.89,46.2,3.01,0.67,0.068,0.0127,2291.7,4.666,
Midnight Coffee Glow_job37_track2.mp3,76.0,179.92,375,211,-17.5,4.57,47.1,2.95,0.64,0.0603,0.0117,2157.7,7.522,
Midnight Coffee Steam.mp3,64.6,229.8,599,237,-18.9,5.14,50.1,2.9,0.69,0.0553,0.0086,1877.4,4.861,
Midnight Coffee Steam_job32_track2.mp3,129.2,184.92,399,389,-18.9,6.03,49.3,2.86,0.79,0.0449,0.0073,1662.4,2.836,
Midnight Porcelain.mp3,172.3,232.48,627,670,-18.0,7.66,50.3,3.23,1.01,0.095,0.0277,2754.4,3.148,
Midnight Porcelain_job24_track2.mp3,86.1,209.0,564,287,-16.2,4.75,43.1,2.98,0.79,0.0598,0.0118,1865.1,4.283,
Midnight Porchlight.mp3,86.1,257.72,674,359,-19.0,5.7,49.7,2.99,1.02,0.0574,0.0138,2020.3,3.942,
Midnight Porchlight_job13_track2.mp3,107.7,293.36,615,510,-18.9,6.65,49.5,2.97,0.66,0.0558,0.0092,1931.8,3.918,
Midnight Quiet City Slow.mp3,99.4,286.32,841,456,-16.1,7.13,53.0,3.04,0.82,0.059,0.0114,1941.7,3.795,
Midnight Quiet City Slow_job36_track2.mp3,136.0,176.72,393,381,-17.9,5.61,49.5,2.92,0.58,0.0451,0.0043,1594.0,6.432,
Midnight Sidewalk.mp3,76.0,233.0,538,279,-17.4,8.4,51.1,2.82,0.67,0.0608,0.0084,2115.9,10.773,
Midnight Sidewalk_job42_track2.mp3,152.0,260.0,628,641,-16.9,4.2,46.9,3.11,0.72,0.0704,0.0115,2231.4,5.691,
Midnight Window Glow.mp3,80.7,209.4,527,276,-18.8,6.69,47.1,2.98,0.96,0.0586,0.0134,2053.6,3.479,
Midnight Window Glow_job12_track1.mp3,123.0,198.64,415,376,-17.6,6.14,50.8,2.76,0.65,0.0497,0.0069,1851.8,3.793,
Midnight Window Glow_job12_track2.mp3,89.1,224.84,434,325,-17.7,4.18,39.0,3.05,0.71,0.0874,0.0189,2593.7,4.26,
Midnight Window Glow_job14_track1.mp3,129.2,214.96,465,458,-18.5,6.44,50.5,3.11,0.68,0.0714,0.011,2037.9,3.525,
Midnight Window Glow_job14_track2.mp3,117.5,203.8,433,394,-17.5,5.77,50.2,3.22,0.78,0.0856,0.0213,2597.5,2.517,
