filename,best_key,best_corr,alt_key,alt_corr,error
001_Sophisticated_Savage.mp3,D# minor,0.591,,,
001_kioto-pro-cinematic-music.mp3,C minor,0.758,,,
002_Song_X.mp3,A major,0.62,,,
003_My_Heart_Beats_Like_A_Hammer.mp3,C minor,0.73,,,
003_going-the-way-of-the-wrangler.mp3,A# minor,0.587,A# major,0.531,
004_Finally_Here.mp3,D major,0.635,,,
004_jody-please-stop.mp3,C minor,0.674,,,
005_Aint_No_Use.mp3,G# minor,0.678,G# major,0.628,
005_show-your-hand.mp3,G# minor,0.746,,,
006_Chant_Of_The_Moon.mp3,C minor,0.46,,,
007_Without_A_Sound.mp3,G major,0.582,,,
008_I_Guess_I_Knew.mp3,A minor,0.463,D minor,0.419,
009_From_This_Moment_On.mp3,C# major,0.659,G# major,0.619,
010_My_Blackbirds_Are_Bluebirds_Now.mp3,G minor,0.536,,,
011_Youre_My_Thrill.mp3,E minor,0.508,,,
012_The_Only_Dream.mp3,C major,0.576,,,
013_Voodoo.mp3,G# major,0.564,,,
014_Little_Grass_Shack.mp3,G minor,0.682,D minor,0.644,
015_Desperado.mp3,E minor,0.628,C major,0.621,
016_Beyond_The_Reef.mp3,D# major,0.59,,,
017_Stuck.mp3,F major,0.499,,,
018_Late_Late_Show.mp3,G# minor,0.529,,,
019_Ballad_Of_A_Gink.mp3,C minor,0.616,,,
020_Hello_Heartstring.mp3,E minor,0.624,,,
021_You_Showed_Me_The_Way.mp3,E major,0.638,A minor,0.603,
022_persimmon.mp3,E minor,0.536,,,
023_07_Other_Side_Blues.mp3,D major,0.667,,,
024_nur-du.mp3,A minor,0.767,A major,0.699,
025_good-king-wenceslaus.mp3,C# minor,0.729,,,
026_06_-_Dazie_Mae_-_Dinner_in_Paris.mp3,D major,0.923,,,
027_Ill_Be_Blue.mp3,F major,0.535,D minor,0.496,
028_02_-_Dazie_Mae_-_The_Dice_Man.mp3,A# minor,0.703,,,
029_Red_Hot_Mama.mp3,D minor,0.627,D major,0.571,
030_Im_The_Last_Of_The_Red_Hot_Mamas.mp3,G# major,0.504,,,
031_Has_Been_Blues.mp3,G# major,0.689,D# major,0.637,
032_11_-_Dazie_Mae_-_Jamie_s_Song.mp3,B major,0.838,,,
033_07_-_Dazie_Mae_-_Time_With_My_Lover.mp3,G major,0.724,E minor,0.676,
034_05_-_Dazie_Mae_-_Double_Blues.mp3,C major,0.715,F major,0.655,
035_Reuben_Rag.mp3,A# major,0.688,,,
036_Thinking_Of_You.mp3,F minor,0.308,,,
037_08_-_Dazie_Mae_-_Citizen_s_Arrest.mp3,E major,0.641,,,
038_01_-_Dazie_Mae_-_Sad_Depressed___Lonely__don_t_clap_your_hands.mp3,C major,0.9,,,
039_13_-_Dazie_Mae_-_The_Demon_Inside_Your_Head.mp3,G minor,0.821,,,
040_12_-_Dazie_Mae_-_The_Winter_Of_My_First_Love.mp3,C# major,0.504,G# minor,0.465,
041_10_-_Dazie_Mae_-_Our_Love_Will_Never_Fold.mp3,F# minor,0.819,,,
042_Bessemer.mp3,G major,0.53,,,
043_Some_Of_These_Days.mp3,B minor,0.307,,,
044_03_-_Dazie_Mae_-_The_Bottlefield_Song.mp3,C major,0.917,,,
045_04_-_Dazie_Mae_-_Can_t_Take_No_Chances.mp3,G major,0.683,,,
046_09_-_Dazie_Mae_-_Frozen_on_the_Outskirts_of_your_Heart.mp3,G major,0.717,,,
047_The_Way_I_Feel_Today.mp3,D minor,0.606,,,
048_International_Rag.mp3,D# minor,0.595,,,
049_Konflikt.mp3,G minor,0.59,,,
050_WM030-04-SidPeacock04mp3.mp3,D# minor,0.283,,,
051_No_More_Blues.mp3,D minor,0.601,,,
052_Blue_Monk.mp3,C minor,0.893,,,
053_WM030-01-SidPeacock01mp3.mp3,A minor,0.826,,,
054_Caravan.mp3,C minor,0.276,,,
055_Arana.mp3,D minor,0.559,A minor,0.531,
056_Avenue_B.mp3,G major,0.566,G minor,0.555,
057_Balkan_improvisation.mp3,A# major,0.593,,,
058_WM030-07-SidPeacock07mp3.mp3,B major,0.57,B minor,0.561,
059_WM030-02-SidPeacock02mp3.mp3,E minor,0.256,A major,0.252,
060_Song_for_Bilbao.mp3,C minor,0.506,C major,0.48,
061_C-mol_blues.mp3,D# major,0.663,C minor,0.64,
062_Blue_bossa.mp3,F minor,0.52,F major,0.504,
063_WM030-03-SidPeacock03mp3.mp3,A major,0.4,,,
064_WM030-06-SidPeacock06mp3.mp3,C minor,0.713,,,
065_Kurina_blues.mp3,A# minor,0.487,A# major,0.478,
066_WM030-05-SidPeacock05mp3.mp3,D# minor,0.381,,,
067_As_Lovers_Do.mp3,D# minor,0.424,,,
068_Mistress_of_Pink_Noise.mp3,G# minor,0.626,,,
069_ashes-of-paradise.mp3,A# minor,0.558,,,
070_Thief_of_a_Day.mp3,F# minor,0.367,,,
071_Low_Leaves_of_Summertime.mp3,F major,0.366,F minor,0.343,
072_heart-like-a-wave.mp3,D major,0.6,,,
073_TheKeeper.mp3,C minor,0.82,,,
074_Ann_Alee_-_Infant_Holy2C_Infant_Lowly.mp3,A# major,0.812,,,
075_any-single-thing.mp3,A# major,0.873,,,
076_baby-write.mp3,A major,0.827,,,
077_goodbye-jazz.mp3,D minor,0.68,,,
078_wohin.mp3,A minor,0.574,,,
079_shelter-from-the-storm.mp3,A major,0.554,C# minor,0.548,
080_manchmal.mp3,E major,0.458,E minor,0.457,
081_jazz-for-the-soul.mp3,A major,0.879,,,
082_among-the-stars.mp3,E major,0.693,A minor,0.678,
083_on-the-other-side.mp3,D minor,0.488,A major,0.482,
084_a-serpent-i-did-hear.mp3,A# major,0.606,,,
085_02_My_Only_Friend.mp3,F minor,0.426,B major,0.398,
086_05_Lonesome_People.mp3,C minor,0.692,D# major,0.674,
087_Games.mp3,A# minor,0.434,,,
088_01_introduction_1037.mp3,E minor,0.382,,,
089_08_Drifting__Floating.mp3,E major,0.516,C# minor,0.472,
090_07_Gone_With_The_Wind.mp3,C major,0.415,C minor,0.398,
091_04_Rebels_Outlaws_Misfits.mp3,G major,0.541,,,
092_03_Back_On_The_Right_Track.mp3,F# major,0.486,,,
093_06_Never_Speak_To_Strangers.mp3,F# minor,0.752,,,
094_epstein-bros-blues-nokings-xxx.mp3,C major,0.621,C minor,0.563,
095_american-taliban-blues-nokings-xxx.mp3,G minor,0.811,,,
096_Body_amp_Soulmp3.mp3,C major,0.708,G major,0.652,
097_caldera-blue.mp3,E minor,0.644,,,
098_nouvelle-vague.mp3,F# major,0.258,A# minor,0.238,
099_spring-rain.mp3,G minor,0.665,,,
100_athens.mp3,C# minor,0.437,,,
