filename,error
Midnight Coffee Cup.mp3,HuggingFace model download blocked by network proxy (403 Forbidden). Run instruments.py locally where HF model laion/clap-htsat-unfused can be downloaded.
Midnight Coffee Cup_job3_track2.mp3,HuggingFace model download blocked by network proxy (403 Forbidden). Run instruments.py locally where HF model laion/clap-htsat-unfused can be downloaded.
Midnight Coffee Glow.mp3,HuggingFace model download blocked by network proxy (403 Forbidden). Run instruments.py locally where HF model laion/clap-htsat-unfused can be downloaded.
Midnight Coffee Glow_job10_track2.mp3,HuggingFace model download blocked by network proxy (403 Forbidden). Run instruments.py locally where HF model laion/clap-htsat-unfused can be downloaded.
Midnight Coffee Glow_job37_track1.mp3,HuggingFace model download blocked by network proxy (403 Forbidden). Run instruments.py locally where HF model laion/clap-htsat-unfused can be downloaded.
Midnight Coffee Glow_job37_track2.mp3,HuggingFace model download blocked by network proxy (403 Forbidden). Run instruments.py locally where HF model laion/clap-htsat-unfused can be downloaded.
Midnight Coffee Steam.mp3,HuggingFace model download blocked by network proxy (403 Forbidden). Run instruments.py locally where HF model laion/clap-htsat-unfused can be downloaded.
Midnight Coffee Steam_job32_track2.mp3,HuggingFace model download blocked by network proxy (403 Forbidden). Run instruments.py locally where HF model laion/clap-htsat-unfused can be downloaded.
Midnight Porcelain.mp3,HuggingFace model download blocked by network proxy (403 Forbidden). Run instruments.py locally where HF model laion/clap-htsat-unfused can be downloaded.
Midnight Porcelain_job24_track2.mp3,HuggingFace model download blocked by network proxy (403 Forbidden). Run instruments.py locally where HF model laion/clap-htsat-unfused can be downloaded.
Midnight Porchlight.mp3,HuggingFace model download blocked by network proxy (403 Forbidden). Run instruments.py locally where HF model laion/clap-htsat-unfused can be downloaded.
Midnight Porchlight_job13_track2.mp3,HuggingFace model download blocked by network proxy (403 Forbidden). Run instruments.py locally where HF model laion/clap-htsat-unfused can be downloaded.
Midnight Quiet City Slow.mp3,HuggingFace model download blocked by network proxy (403 Forbidden). Run instruments.py locally where HF model laion/clap-htsat-unfused can be downloaded.
Midnight Quiet City Slow_job36_track2.mp3,HuggingFace model download blocked by network proxy (403 Forbidden). Run instruments.py locally where HF model laion/clap-htsat-unfused can be downloaded.
Midnight Sidewalk.mp3,HuggingFace model download blocked by network proxy (403 Forbidden). Run instruments.py locally where HF model laion/clap-htsat-unfused can be downloaded.
Midnight Sidewalk_job42_track2.mp3,HuggingFace model download blocked by network proxy (403 Forbidden). Run instruments.py locally where HF model laion/clap-htsat-unfused can be downloaded.
Midnight Window Glow.mp3,HuggingFace model download blocked by network proxy (403 Forbidden). Run instruments.py locally where HF model laion/clap-htsat-unfused can be downloaded.
Midnight Window Glow_job12_track1.mp3,HuggingFace model download blocked by network proxy (403 Forbidden). Run instruments.py locally where HF model laion/clap-htsat-unfused can be downloaded.
Midnight Window Glow_job12_track2.mp3,HuggingFace model download blocked by network proxy (403 Forbidden). Run instruments.py locally where HF model laion/clap-htsat-unfused can be downloaded.
