filename,num_sections,section_names,sections_json,error
Midnight Coffee Cup.mp3,10,Chorus(A) 0.0-21.9s | Chorus(A) 21.9-119.1s | Chorus(A) 119.1-136.5s | Bridge(B) 136.5-149.3s | Bridge(C) 149.3-154.0s | Chorus(A) 154.0-200.4s | Verse(D) 200.4-202.5s | Verse(E) 202.5-205.1s | Chorus(A) 205.1-230.2s | Outro(D) 230.2-237.2s,"[{""start"": 0.0, ""end"": 21.92, ""duration"": 21.92, ""letter"": ""A"", ""name"": ""Chorus""}, {""start"": 21.92, ""end"": 119.07, ""duration"": 97.15, ""letter"": ""A"", ""name"": ""Chorus""}, {""start"": 119.07, ""end"": 136.53, ""duration"": 17.46, ""letter"": ""A"", ""name"": ""Chorus""}, {""start"": 136.53, ""end"": 149.35, ""duration"": 12.82, ""letter"": ""B"", ""name"": ""Bridge""}, {""start"": 149.35, ""end"": 153.99, ""duration"": 4.64, ""letter"": ""C"", ""name"": ""Bridge""}, {""start"": 153.99, ""end"": 200.43, ""duration"": 46.44, ""letter"": ""A"", ""name"": ""Chorus""}, {""start"": 200.43, ""end"": 202.48, ""duration"": 2.04, ""letter"": ""D"", ""name"": ""Verse""}, {""start"": 202.48, ""end"": 205.08, ""duration"": 2.6, ""letter"": ""E"", ""name"": ""Verse""}, {""start"": 205.08, ""end"": 230.16, ""duration"": 25.08, ""letter"": ""A"", ""name"": ""Chorus""}, {""start"": 230.16, ""end"": 237.22, ""duration"": 7.06, ""letter"": ""D"", ""name"": ""Outro""}]",
Midnight Coffee Cup_job3_track2.mp3,10,Chorus(A) 0.0-19.5s | Chorus(A) 19.5-69.1s | Bridge(B) 69.1-72.1s | Chorus(A) 72.1-179.6s | Bridge(C) 179.6-181.5s | Chorus(A) 181.5-211.9s | Bridge(D) 211.9-216.8s | Chorus(A) 216.8-240.7s | Verse(E) 240.7-243.2s | Outro(F) 243.2-251.9s,"[{""start"": 0.0, ""end"": 19.5, ""duration"": 19.5, ""letter"": ""A"", ""name"": ""Chorus""}, {""start"": 19.5, ""end"": 69.1, ""duration"": 49.6, ""letter"": ""A"", ""name"": ""Chorus""}, {""start"": 69.1, ""end"": 72.07, ""duration"": 2.97, ""letter"": ""B"", ""name"": ""Bridge""}, {""start"": 72.07, ""end"": 179.63, ""duration"": 107.55, ""letter"": ""A"", ""name"": ""Chorus""}, {""start"": 179.63, ""end"": 181.49, ""duration"": 1.86, ""letter"": ""C"", ""name"": ""Bridge""}, {""start"": 181.49, ""end"": 211.95, ""duration"": 30.46, ""letter"": ""A"", ""name"": ""Chorus""}, {""start"": 211.95, ""end"": 216.78, ""duration"": 4.83, ""letter"": ""D"", ""name"": ""Bridge""}, {""start"": 216.78, ""end"": 240.74, ""duration"": 23.96, ""letter"": ""A"", ""name"": ""Chorus""}, {""start"": 240.74, ""end"": 243.16, ""duration"": 2.41, ""letter"": ""E"", ""name"": ""Verse""}, {""start"": 243.16, ""end"": 251.89, ""duration"": 8.73, ""letter"": ""F"", ""name"": ""Outro""}]",
Midnight Coffee Glow.mp3,10,Chorus(A) 0.0-8.5s | Verse(B) 8.5-10.6s | Chorus(A) 10.6-54.6s | Verse(B) 54.6-56.7s | Chorus(A) 56.7-83.0s | Verse(C) 83.0-84.9s | Chorus(A) 84.9-126.5s | Verse(C) 126.5-128.7s | Chorus(A) 128.7-176.3s | Outro(D) 176.3-186.9s,"[{""start"": 0.0, ""end"": 8.54, ""duration"": 8.54, ""letter"": ""A"", ""name"": ""Chorus""}, {""start"": 8.54, ""end"": 10.59, ""duration"": 2.04, ""letter"": ""B"", ""name"": ""Verse""}, {""start"": 10.59, ""end"": 54.61, ""duration"": 44.03, ""letter"": ""A"", ""name"": ""Chorus""}, {""start"": 54.61, ""end"": 56.66, ""duration"": 2.04, ""letter"": ""B"", ""name"": ""Verse""}, {""start"": 56.66, ""end"": 83.03, ""duration"": 26.38, ""letter"": ""A"", ""name"": ""Chorus""}, {""start"": 83.03, ""end"": 84.89, ""duration"": 1.86, ""letter"": ""C"", ""name"": ""Verse""}, {""start"": 84.89, ""end"": 126.5, ""duration"": 41.61, ""letter"": ""A"", ""name"": ""Chorus""}, {""start"": 126.5, ""end"": 128.73, ""duration"": 2.23, ""letter"": ""C"", ""name"": ""Verse""}, {""start"": 128.73, ""end"": 176.29, ""duration"": 47.55, ""letter"": ""A"", ""name"": ""Chorus""}, {""start"": 176.29, ""end"": 186.87, ""duration"": 10.59, ""letter"": ""D"", ""name"": ""Outro""}]",
Midnight Coffee Glow_job10_track2.mp3,10,Chorus(A) 0.0-20.1s | Verse(B) 20.1-22.7s | Chorus(A) 22.7-43.6s | Chorus(A) 43.6-68.5s | Chorus(A) 68.5-79.7s | Bridge(C) 79.7-82.3s | Chorus(A) 82.3-114.4s | Chorus(A) 114.4-156.4s | Verse(D) 156.4-159.4s | Outro(E) 159.4-164.6s,"[{""start"": 0.0, ""end"": 20.06, ""duration"": 20.06, ""letter"": ""A"", ""name"": ""Chorus""}, {""start"": 20.06, ""end"": 22.66, ""duration"": 2.6, ""letter"": ""B"", ""name"": ""Verse""}, {""start"": 22.66, ""end"": 43.65, ""duration"": 20.99, ""letter"": ""A"", ""name"": ""Chorus""}, {""start"": 43.65, ""end"": 68.55, ""duration"": 24.89, ""letter"": ""A"", ""name"": ""Chorus""}, {""start"": 68.55, ""end"": 79.69, ""duration"": 11.15, ""letter"": ""A"", ""name"": ""Chorus""}, {""start"": 79.69, ""end"": 82.29, ""duration"": 2.6, ""letter"": ""C"", ""name"": ""Bridge""}, {""start"": 82.29, ""end"": 114.43, ""duration"": 32.14, ""letter"": ""A"", ""name"": ""Chorus""}, {""start"": 114.43, ""end"": 156.41, ""duration"": 41.98, ""letter"": ""A"", ""name"": ""Chorus""}, {""start"": 156.41, ""end"": 159.38, ""duration"": 2.97, ""letter"": ""D"", ""name"": ""Verse""}, {""start"": 159.38, ""end"": 164.58, ""duration"": 5.2, ""letter"": ""E"", ""name"": ""Outro""}]",
Midnight Coffee Glow_job37_track1.mp3,10,Chorus(A) 0.0-11.2s | Verse(B) 11.2-13.8s | Chorus(A) 13.8-39.8s | Chorus(A) 39.8-72.8s | Bridge(C) 72.8-74.5s | Chorus(A) 74.5-102.2s | Bridge(D) 102.2-107.5s | Chorus(A) 107.5-133.2s | Verse(E) 133.2-136.7s | Outro(F) 136.7-139.7s,"[{""start"": 0.0, ""end"": 11.15, ""duration"": 11.15, ""letter"": ""A"", ""name"": ""Chorus""}, {""start"": 11.15, ""end"": 13.75, ""duration"": 2.6, ""letter"": ""B"", ""name"": ""Verse""}, {""start"": 13.75, ""end"": 39.75, ""duration"": 26.01, ""letter"": ""A"", ""name"": ""Chorus""}, {""start"": 39.75, ""end"": 72.82, ""duration"": 33.07, ""letter"": ""A"", ""name"": ""Chorus""}, {""start"": 72.82, ""end"": 74.49, ""duration"": 1.67, ""letter"": ""C"", ""name"": ""Bridge""}, {""start"": 74.49, ""end"": 102.17, ""duration"": 27.68, ""letter"": ""A"", ""name"": ""Chorus""}, {""start"": 102.17, ""end"": 107.55, ""duration"": 5.39, ""letter"": ""D"", ""name"": ""Bridge""}, {""start"": 107.55, ""end"": 133.19, ""duration"": 25.63, ""letter"": ""A"", ""name"": ""Chorus""}, {""start"": 133.19, ""end"": 136.72, ""duration"": 3.53, ""letter"": ""E"", ""name"": ""Verse""}, {""start"": 136.72, ""end"": 139.69, ""duration"": 2.97, ""letter"": ""F"", ""name"": ""Outro""}]",
Midnight Coffee Glow_job37_track2.mp3,10,Chorus(A) 0.0-50.3s | Verse(B) 50.3-53.3s | Chorus(A) 53.3-65.4s | Bridge(C) 65.4-72.8s | Chorus(A) 72.8-92.0s | Chorus(A) 92.0-101.8s | Chorus(A) 101.8-119.1s | Verse(B) 119.1-122.0s | Chorus(A) 122.0-141.4s | Chorus(A) 141.4-179.8s,"[{""start"": 0.0, ""end"": 50.34, ""duration"": 50.34, ""letter"": ""A"", ""name"": ""Chorus""}, {""start"": 50.34, ""end"": 53.31, ""duration"": 2.97, ""letter"": ""B"", ""name"": ""Verse""}, {""start"": 53.31, ""end"": 65.39, ""duration"": 12.07, ""letter"": ""A"", ""name"": ""Chorus""}, {""start"": 65.39, ""end"": 72.82, ""duration"": 7.43, ""letter"": ""C"", ""name"": ""Bridge""}, {""start"": 72.82, ""end"": 91.95, ""duration"": 19.13, ""letter"": ""A"", ""name"": ""Chorus""}, {""start"": 91.95, ""end"": 101.8, ""duration"": 9.85, ""letter"": ""A"", ""name"": ""Chorus""}, {""start"": 101.8, ""end"": 119.07, ""duration"": 17.28, ""letter"": ""A"", ""name"": ""Chorus""}, {""start"": 119.07, ""end"": 122.04, ""duration"": 2.97, ""letter"": ""B"", ""name"": ""Verse""}, {""start"": 122.04, ""end"": 141.36, ""duration"": 19.32, ""letter"": ""A"", ""name"": ""Chorus""}, {""start"": 141.36, ""end"": 179.82, ""duration"": 38.45, ""letter"": ""A"", ""name"": ""Chorus""}]",
Midnight Coffee Steam.mp3,10,Chorus(A) 0.0-74.3s | Bridge(B) 74.3-75.6s | Chorus(A) 75.6-162.9s | Bridge(C) 162.9-165.9s | Chorus(A) 165.9-196.0s | Verse(D) 196.0-197.5s | Chorus(A) 197.5-216.2s | Verse(E) 216.2-217.9s | Chorus(A) 217.9-222.7s | Outro(F) 222.7-229.8s,"[{""start"": 0.0, ""end"": 74.3, ""duration"": 74.3, ""letter"": ""A"", ""name"": ""Chorus""}, {""start"": 74.3, ""end"": 75.6, ""duration"": 1.3, ""letter"": ""B"", ""name"": ""Bridge""}, {""start"": 75.6, ""end"": 162.91, ""duration"": 87.31, ""letter"": ""A"", ""name"": ""Chorus""}, {""start"": 162.91, ""end"": 165.88, ""duration"": 2.97, ""letter"": ""C"", ""name"": ""Bridge""}, {""start"": 165.88, ""end"": 195.98, ""duration"": 30.09, ""letter"": ""A"", ""name"": ""Chorus""}, {""start"": 195.98, ""end"": 197.46, ""duration"": 1.49, ""letter"": ""D"", ""name"": ""Verse""}, {""start"": 197.46, ""end"": 216.22, ""duration"": 18.76, ""letter"": ""A"", ""name"": ""Chorus""}, {""start"": 216.22, ""end"": 217.9, ""duration"": 1.67, ""letter"": ""E"", ""name"": ""Verse""}, {""start"": 217.9, ""end"": 222.73, ""duration"": 4.83, ""letter"": ""A"", ""name"": ""Chorus""}, {""start"": 222.73, ""end"": 229.78, ""duration"": 7.06, ""letter"": ""F"", ""name"": ""Outro""}]",
Midnight Coffee Steam_job32_track2.mp3,10,Chorus(A) 0.0-13.6s | Chorus(A) 13.6-72.3s | Chorus(A) 72.3-116.7s | Bridge(B) 116.7-120.7s | Chorus(A) 120.7-122.6s | Bridge(C) 122.6-123.9s | Chorus(A) 123.9-131.2s | Chorus(A) 131.2-154.0s | Chorus(A) 154.0-180.0s | Outro(D) 180.0-184.8s,"[{""start"": 0.0, ""end"": 13.56, ""duration"": 13.56, ""letter"": ""A"", ""name"": ""Chorus""}, {""start"": 13.56, ""end"": 72.26, ""duration"": 58.7, ""letter"": ""A"", ""name"": ""Chorus""}, {""start"": 72.26, ""end"": 116.66, ""duration"": 44.4, ""letter"": ""A"", ""name"": ""Chorus""}, {""start"": 116.66, ""end"": 120.74, ""duration"": 4.09, ""letter"": ""B"", ""name"": ""Bridge""}, {""start"": 120.74, ""end"": 122.6, ""duration"": 1.86, ""letter"": ""A"", ""name"": ""Chorus""}, {""start"": 122.6, ""end"": 123.9, ""duration"": 1.3, ""letter"": ""C"", ""name"": ""Bridge""}, {""start"": 123.9, ""end"": 131.15, ""duration"": 7.24, ""letter"": ""A"", ""name"": ""Chorus""}, {""start"": 131.15, ""end"": 153.99, ""duration"": 22.85, ""letter"": ""A"", ""name"": ""Chorus""}, {""start"": 153.99, ""end"": 180.0, ""duration"": 26.01, ""letter"": ""A"", ""name"": ""Chorus""}, {""start"": 180.0, ""end"": 184.83, ""duration"": 4.83, ""letter"": ""D"", ""name"": ""Outro""}]",
Midnight Porcelain.mp3,10,Chorus(A) 0.0-1.1s | Verse(B) 1.1-17.5s | Chorus(A) 17.5-41.4s | Verse(B) 41.4-79.5s | Chorus(A) 79.5-124.1s | Verse(B) 124.1-143.0s | Chorus(A) 143.0-189.1s | Verse(B) 189.1-209.9s | Verse(C) 209.9-230.9s | Outro(D) 230.9-232.4s,"[{""start"": 0.0, ""end"": 1.11, ""duration"": 1.11, ""letter"": ""A"", ""name"": ""Chorus""}, {""start"": 1.11, ""end"": 17.46, ""duration"": 16.35, ""letter"": ""B"", ""name"": ""Verse""}, {""start"": 17.46, ""end"": 41.42, ""duration"": 23.96, ""letter"": ""A"", ""name"": ""Chorus""}, {""start"": 41.42, ""end"": 79.51, ""duration"": 38.08, ""letter"": ""B"", ""name"": ""Verse""}, {""start"": 79.51, ""end"": 124.09, ""duration"": 44.58, ""letter"": ""A"", ""name"": ""Chorus""}, {""start"": 124.09, ""end"": 143.03, ""duration"": 18.95, ""letter"": ""B"", ""name"": ""Verse""}, {""start"": 143.03, ""end"": 189.1, ""duration"": 46.07, ""letter"": ""A"", ""name"": ""Chorus""}, {""start"": 189.1, ""end"": 209.91, ""duration"": 20.81, ""letter"": ""B"", ""name"": ""Verse""}, {""start"": 209.91, ""end"": 230.9, ""duration"": 20.99, ""letter"": ""C"", ""name"": ""Verse""}, {""start"": 230.9, ""end"": 232.39, ""duration"": 1.49, ""letter"": ""D"", ""name"": ""Outro""}]",
Midnight Porcelain_job24_track2.mp3,10,Chorus(A) 0.0-26.4s | Chorus(A) 26.4-47.2s | Chorus(A) 47.2-68.5s | Chorus(A) 68.5-87.9s | Chorus(A) 87.9-146.9s | Bridge(B) 146.9-155.1s | Chorus(A) 155.1-169.2s | Chorus(A) 169.2-177.4s | Chorus(A) 177.4-202.7s | Outro(C) 202.7-209.0s,"[{""start"": 0.0, ""end"": 26.38, ""duration"": 26.38, ""letter"": ""A"", ""name"": ""Chorus""}, {""start"": 26.38, ""end"": 47.18, ""duration"": 20.81, ""letter"": ""A"", ""name"": ""Chorus""}, {""start"": 47.18, ""end"": 68.55, ""duration"": 21.36, ""letter"": ""A"", ""name"": ""Chorus""}, {""start"": 68.55, ""end"": 87.86, ""duration"": 19.32, ""letter"": ""A"", ""name"": ""Chorus""}, {""start"": 87.86, ""end"": 146.94, ""duration"": 59.07, ""letter"": ""A"", ""name"": ""Chorus""}, {""start"": 146.94, ""end"": 155.11, ""duration"": 8.17, ""letter"": ""B"", ""name"": ""Bridge""}, {""start"": 155.11, ""end"": 169.23, ""duration"": 14.12, ""letter"": ""A"", ""name"": ""Chorus""}, {""start"": 169.23, ""end"": 177.4, ""duration"": 8.17, ""letter"": ""A"", ""name"": ""Chorus""}, {""start"": 177.4, ""end"": 202.66, ""duration"": 25.26, ""letter"": ""A"", ""name"": ""Chorus""}, {""start"": 202.66, ""end"": 208.98, ""duration"": 6.32, ""letter"": ""C"", ""name"": ""Outro""}]",
