audio_id,genre
suno_33c7124c-cf07-4e96-ba68-d4f7674e65a2_2,pop
suno_200fa406-3616-4e10-94f2-f77f0b29b400_1,rock
suno_abcfc944-8a95-461f-9bc5-5976f8a6c307_1,jazz
suno_8d0432b3-a05d-4d34-93bc-52abd8b5e41b_2,hiphop
suno_2ff71aac-1efb-4c25-a66a-379dedd7018e_2,hiphop
suno_b747b320-3efc-421f-a97e-581df0c0442e_1,hiphop
suno_9b3fe72c-e852-4da5-b0ad-8cf32818f1db_2,pop
suno_3c3fba14-676f-44bd-afce-6d7567d6ee0f_1,blues
suno_8f4e5dc4-ce8a-4829-9c24-1058c0e8bf99_1,blues
suno_0bda195b-4292-4505-ada4-ece737fc02a8_2,blues
suno_85f06ecb-6f6b-4cbf-98b6-963cdc51a41a_2,jazz
suno_e6641c34-fa0e-49cd-a545-4053d26bcb3d_1,electronic
suno_f17d4eff-e245-4ef2-9732-6d3c56ab64cc_2,rock
suno_48112200-8ecc-492b-b955-b91dbf6e966f_2,electronic
suno_fb24d2cd-20ec-4aba-9cd1-d56b0b81a261_2,classical
suno_e1ae4ac1-5b04-4d4b-ab2e-248f3e76b19d_1,blues
suno_4b02d3ce-8de5-497a-b744-cb179121b09c_2,electronic
suno_8dbdd972-7ae0-4281-b6a0-f1546aaa9291_2,country
suno_8daf129b-d5ad-4090-a249-67d5c3e07835_2,pop
suno_2a52e8e3-07d9-4264-9454-dd207a43504f_1,pop
suno_07750bbd-eaac-4391-9283-a0b99f54ea90_1,classical
suno_3397511d-f0c2-4a57-90e0-15e7b041f0d3_2,hiphop
suno_fcaafe90-fbda-488e-af33-70a7f6a023f4_1,hiphop
suno_96dbfc4f-fa25-41eb-a1d4-ab3ecc414c84_1,classical
suno_df718e07-29fa-4d74-8439-39a6ec6f7626_2,electronic
suno_7d8b6678-a72f-4180-80e9-09f0c80ae371_1,hiphop
suno_f642a8d7-0eeb-435c-a44c-b2df19e15403_2,classical
suno_5a172aac-d18c-4283-a4dd-346685ef58b2_1,electronic
suno_aba491d6-d3ac-4de1-b4d4-05888e446c27_2,pop
suno_aa38df63-f8ea-40ff-a83f-91bbb7d058f0_1,pop
suno_5f9585a7-122d-4437-aef7-b2103a1ab572_1,pop
suno_76d427c6-7789-486c-bd93-bb35e06fe362_2,hiphop
suno_e366d7d4-642d-404b-8363-e24ae8b0f6f3_2,electronic
suno_e9e6d892-f9b8-43f1-91af-ab4ad5414e70_2,country
suno_d6061678-9977-4362-b2c1-bda77f2ce4f7_2,pop
suno_264068af-82c3-46c3-9d76-f39b589b9396_2,pop
suno_5a172aac-d18c-4283-a4dd-346685ef58b2_2,electronic
suno_0b903c4f-0e47-43a6-8838-99491c1a813b_1,rock
suno_e60f2492-b25c-43b7-9d7d-e7cb070eff5f_1,electronic
suno_70c70f80-1a56-4dde-a97e-792114e99de0_1,country
suno_525b4ebf-c7f7-4d30-9c8c-66d649f1285b_1,country
suno_cabf05c8-6d67-409a-9ecc-f835d207e90e_1,pop
suno_783777ce-b875-4923-8609-512f2c841227_2,electronic
suno_6314f35a-be9c-4d69-8b16-387dbcf5008e_2,blues
suno_40484e22-eac1-4e92-8732-53e71f19792b_1,classical
suno_152d8adb-6a73-42f3-b5e8-59c01ce4555d_1,electronic
suno_0deb3be1-ec09-4996-81bd-09132dce5397_2,classical
suno_cf622736-c0a0-4541-9d13-3ab4a465ea14_1,electronic
suno_535f9758-75d3-4981-8680-d0f604b4d433_2,rock
suno_aeff74b4-a8ce-4af2-8ecc-a3212a2d1024_2,jazz
suno_6ed1a3c2-7eaa-4d29-866f-10ffd2094b48_1,classical
suno_5c7bc46a-6f6c-437f-8894-cf1cfa34ab45_2,blues
suno_58991407-5827-4179-9439-9e3751e26f81_1,blues
suno_63d1ce43-87a9-4bc5-94aa-defa58d6c397_2,blues
suno_0da4a125-3576-4b66-a9b7-15835fdac093_2,hiphop
suno_707941ad-70ab-426d-885a-6b1d4ae9860c_2,rock
suno_8bcea19b-7c6c-4d0b-adb3-da41a7fabdbb_2,rock
suno_0043006b-2721-4b40-90ea-c2c1a1ef5c34_2,pop
suno_26213a81-4dfc-4a2d-b5e9-3b23dc7d17d8_2,classical
suno_b8aad0fd-2529-4ca3-b285-2f6d2e4592ae_2,pop
suno_311376ff-3e07-47b1-973f-08d64f05945e_1,rock
suno_744f48d6-5ee3-49b4-bd46-b49ecca80263_1,blues
suno_09848c16-8e78-494f-a01a-b3caeec26991_1,classical
suno_edf94cf1-58d5-4535-a193-0bbcffe6c735_1,jazz
suno_1efaf9b5-ba54-49c8-a081-092dac56dcdf_2,country
suno_f05efd8b-497c-4741-b307-af2ebe7165f5_1,classical
suno_476042c3-41ab-4f79-ad67-750d4124872e_2,jazz
suno_380ccf0b-2ca7-4883-b054-cf1965eca071_1,country
suno_48361f6a-6ead-4416-9b69-7bbf7050256d_2,classical
suno_254f6124-583d-4372-b480-3112b7ee2d41_1,jazz
suno_df43d14e-07e6-4113-b6cb-6682262f99d1_1,rock
suno_5a53f5d4-5172-4886-9eb7-f401332eaebb_1,pop
suno_857d1ee3-ac9a-4667-bd81-0b428743db7c_2,hiphop
suno_d349f27f-3fe4-42be-ace8-e49fc4090ebd_2,country
suno_4b88fa42-25e8-478d-8b48-f8be5d1f4cea_2,hiphop
suno_efe1d736-2655-4ceb-8fe3-2edf81a00871_2,pop
suno_aa35e483-54d0-4dbb-843c-d6d4d9a35c32_2,classical
suno_c00a1965-7ef3-4e5d-a546-ad1d28169b3a_1,classical
suno_8bb1c3e0-5d9f-465c-9998-5411861245ec_1,rock
suno_2cea6303-e9a5-47d1-b270-73379d479f9e_1,pop
suno_bd1a2fb5-996d-44b1-877f-68ffcbe73648_1,blues
suno_e44b1546-01e3-4a32-a706-604142f5d585_1,classical
suno_328935a3-c998-4c5f-a7c6-b6be57ec370a_1,classical
suno_15083fc2-9098-4d37-a14f-f427fafdbbd8_2,electronic
suno_a4c5ecb9-3bd2-4de6-9e34-c43ac578f1f6_2,classical
suno_51f76ab9-9eff-4cb6-829c-922730be2eec_2,jazz
suno_f4946eee-5dc8-462a-abea-f82c7cfec399_1,pop
suno_7231f506-7906-4e1a-ad18-43321a8fc807_1,rock
suno_15e2f08a-cb75-4981-9e2b-098542cf5467_1,classical
suno_13063e51-e8ca-49be-987d-648cf41f4ffd_2,hiphop
suno_f0f3b30c-ea58-485a-89fe-d8ab5105205a_2,rock
suno_878634cb-7b9a-4806-a16b-28a827a52366_2,classical
suno_6bac0c3d-598d-4676-a4f1-4dea66c327fb_1,classical
suno_67eab2a6-7acb-4aa3-8901-557a002167b3_2,electronic
suno_b747b320-3efc-421f-a97e-581df0c0442e_2,hiphop
suno_b280da68-cdcc-4903-b7e8-bafd31b32552_2,pop
suno_536431eb-5724-4892-bef6-4fed0a4bb141_1,jazz
suno_3a313187-c671-4421-b41d-4c6e6a29abfe_2,jazz
suno_719f8e33-4700-415a-8d63-2406e4a7bcdd_2,electronic
suno_8bb1c3e0-5d9f-465c-9998-5411861245ec_2,rock
suno_ebc452fe-f2c8-4b98-9f3e-ead28369f3e3_1,classical
suno_7365d1e9-00b6-4635-b08d-9a1c95786b54_1,rock
suno_1d3f9f65-e84b-4833-9b6b-8f94faf64187_1,blues
suno_602347aa-c032-43d2-bbf5-6c8ffc71886d_2,jazz
suno_8e7eff7d-9b97-4c1e-a02b-c0c4c4a08557_1,rock
suno_d985a9d0-9308-4b73-85e7-dead30904834_1,blues
suno_791835fd-6b71-4b65-81f4-f082d7341f9d_1,hiphop
suno_22e70dc0-3bb0-4901-840e-a8dd45e4436d_1,hiphop
suno_bcdc5f61-8b37-418b-8d6c-2f97b2acc21b_2,classical
suno_45a45f0f-dbf5-400d-8dfa-ba6e50d1d9ad_2,hiphop
suno_33c7124c-cf07-4e96-ba68-d4f7674e65a2_1,pop
suno_98f8d279-c375-40de-bc5e-20ab50c30476_1,classical
suno_169cccf5-ac02-4f40-aec9-0b955fbb52d1_2,rock
suno_0f6b37e7-18ed-4cc1-90a3-47bb69921c7f_1,hiphop
suno_1a5a4953-5d2b-4caf-8259-5849ea631ffc_2,hiphop
suno_749516e7-ff87-42c6-9d5a-095a40f0af48_2,pop
suno_5ed64eab-a18d-4232-acbd-5aed616efa50_1,pop
suno_0a19b4a4-03cc-400f-9e0f-4b8fca27a01a_2,country
suno_135a59dc-98b3-41c1-922f-63f1dbdf0e3a_2,country
suno_20c00873-85e2-458b-bc71-d23c5af647ed_2,electronic
suno_cfe6c084-b309-4202-8620-e6450ba9de76_1,hiphop
suno_2a7b3ea4-a343-4a6f-b1f2-93b498a563f5_2,blues
suno_87ed59bb-5a97-4103-bde2-720b013adb09_1,classical
suno_f71ab764-a7bf-4298-aa5e-01b8aea31f40_1,hiphop
suno_e978f61d-159f-459c-a7c2-a696f1cb94cf_2,classical
suno_35f762c7-b264-41f1-b839-2c033e00273d_2,pop
suno_447cf130-1201-4f55-bf9d-99f80211a362_1,pop
suno_cb9101a3-ae9b-47bf-8a1c-5105a5fc2a2f_1,rock
suno_f5050912-dfab-4b23-8939-1b1d5c42337e_2,classical
suno_6f4c9a02-2bd6-4f34-97c0-c26f66c7c5ba_2,country
suno_95e8d7c3-1750-4745-86cc-2d9301acd7a2_2,country
suno_24807156-c471-4b43-b43f-4238600183e3_2,blues
suno_0d9c02ba-e90d-4601-bd95-4cc6ba8009a9_1,classical
suno_52bef3fe-03a1-4893-a9d1-357c389c7176_2,hiphop
suno_b77af2a2-ef3f-4dd9-817f-6b606a9e641a_2,electronic
suno_9d8966d8-b03c-4b90-a630-5e7c69de34a3_1,pop
suno_4751c927-448b-4895-a8fa-6e8b6d1658fb_2,jazz
suno_00d1f477-e58b-4847-906a-95ee0e34a12f_1,country
suno_c388a7ae-8366-4f38-bb39-ef16e8337a61_2,rock
suno_06de51be-cb97-494b-87bd-3bf527391e4f_1,pop
suno_07af0f97-d0b0-4c54-92a9-8d6284200c1f_2,jazz
suno_d82e74f2-aae1-40bc-a405-82df2c3840d5_1,rock
suno_151a615a-7279-4967-b475-9af3f55e1201_2,rock
suno_1007dbc3-94c9-4858-9f18-f7a3fe48544a_2,rock
suno_00e04ac4-e825-4553-8943-b7def7c4411e_2,hiphop
suno_77995982-b905-47e1-8c40-d1f22d7bab6c_2,hiphop
suno_357c83c4-9ec1-4b63-a642-2069c8603e03_1,hiphop
suno_0e4f80b8-df21-42e5-a441-5c8fe458746b_1,classical
suno_291cc0bc-27e2-4afa-8af7-8981e64985b3_1,pop
suno_54eca254-66dd-4d84-99a1-4bd7bf291d36_1,classical
suno_11826ce7-f25a-4cf4-b3e8-44fef978e857_2,pop
suno_cfe6c084-b309-4202-8620-e6450ba9de76_2,hiphop
suno_b2425315-e26e-4dc6-be0d-8061a92a6263_1,jazz
suno_3071d642-1190-4c6d-ade5-41735cd70ba9_1,electronic
suno_e3d63426-88a9-450f-9c0a-3788b8d9659e_2,hiphop
