filename,tempo,quantization_score,mean_dev_ms,std_dev_ms,max_dev_ms,swing_pct,num_onsets,subdivision,error
Midnight Coffee Cup.mp3,95.7,88.5,9.11,16.23,75.46,50.8,677,16,
Midnight Coffee Cup_job3_track2.mp3,89.1,87.5,10.5,19.17,92.88,51.5,687,16,
Midnight Coffee Glow.mp3,95.7,82.9,13.58,23.8,75.46,51.8,506,16,
Midnight Coffee Glow_job10_track2.mp3,89.1,88.3,9.93,19.85,81.27,49.7,436,16,
Midnight Coffee Glow_job37_track1.mp3,71.8,67.5,34.3,49.65,104.49,48.9,275,16,
Midnight Coffee Glow_job37_track2.mp3,76.0,80.1,19.8,31.86,104.49,49.5,367,16,
Midnight Coffee Steam.mp3,64.6,59.0,47.01,60.11,116.1,49.2,582,16,
Midnight Coffee Steam_job32_track2.mp3,129.2,75.0,14.4,22.1,58.05,65.7,398,16,
Midnight Porcelain.mp3,172.3,86.0,6.0,12.53,46.44,64.1,625,16,
Midnight Porcelain_job24_track2.mp3,86.1,86.3,12.03,22.53,92.88,50.4,556,16,
Midnight Porchlight.mp3,86.1,87.6,10.81,19.33,81.27,50.8,669,16,
Midnight Porchlight_job13_track2.mp3,107.7,62.9,25.85,31.84,69.66,63.9,601,16,
Midnight Quiet City Slow.mp3,99.4,87.8,9.22,16.49,75.46,51.5,832,16,
Midnight Quiet City Slow_job36_track2.mp3,136.0,70.4,16.72,21.43,52.24,68.3,391,16,
Midnight Sidewalk.mp3,76.0,61.8,38.16,51.77,98.68,47.3,533,16,
Midnight Sidewalk_job42_track2.mp3,152.0,91.2,4.33,11.25,46.44,60.7,620,16,
Midnight Window Glow.mp3,80.7,87.6,11.5,19.85,92.88,50.3,523,16,
Midnight Window Glow_job12_track1.mp3,123.0,61.8,23.69,29.77,58.05,63.5,404,16,
Midnight Window Glow_job12_track2.mp3,89.1,63.5,30.33,40.09,81.27,60.0,428,16,
Midnight Window Glow_job14_track1.mp3,129.2,58.5,23.98,25.87,63.85,65.8,460,16,
Midnight Window Glow_job14_track2.mp3,117.5,52.9,29.62,32.26,63.85,63.3,431,16,
Midnight Window Glow_job19_track1.mp3,143.6,63.6,19.15,25.36,52.24,64.0,606,16,
Midnight Window Glow_job19_track2.mp3,129.2,63.0,21.44,26.95,58.05,63.1,431,16,
Midnight Window Glow_job23_track1.mp3,172.3,88.7,4.98,11.16,46.44,56.7,650,16,
Midnight Window Glow_job23_track2.mp3,152.0,77.1,11.53,19.78,52.24,64.0,464,16,
Midnight Window Glow_job25_track1.mp3,95.7,52.8,37.29,41.93,75.46,59.5,552,16,
Midnight Window Glow_job25_track2.mp3,117.5,86.9,8.28,15.17,58.05,52.7,744,16,
Midnight Window Glow_job29_track1.mp3,136.0,77.5,12.43,18.24,52.24,69.7,299,16,
Midnight Window Glow_job29_track2.mp3,172.3,93.2,2.88,8.29,34.83,68.4,634,16,
Midnight Window Glow_job30_track1.mp3,92.3,86.1,11.18,20.32,87.07,51.7,763,16,
Midnight Window Glow_job30_track2.mp3,152.0,63.7,17.93,24.77,46.44,62.8,566,16,
Midnight Window Glow_job31_track1.mp3,161.5,89.3,4.97,11.61,46.44,60.2,650,16,
Midnight Window Glow_job31_track2.mp3,89.1,83.1,14.12,23.53,92.88,51.1,584,16,
Midnight Window Glow_job33_track1.mp3,112.3,59.8,26.36,29.39,69.66,64.6,498,16,
Midnight Window Glow_job33_track2.mp3,172.3,83.9,7.05,14.23,46.44,61.2,606,16,
Midnight Window Glow_job35_track1.mp3,143.6,65.1,18.72,24.93,52.24,64.6,541,16,
Midnight Window Glow_job35_track2.mp3,89.1,86.8,11.03,18.14,81.27,51.6,543,16,
Midnight Window Glow_job41_track1.mp3,80.7,82.0,16.64,27.14,98.68,48.8,518,16,
Midnight Window Glow_job41_track2.mp3,117.5,67.2,20.48,28.77,58.05,65.3,377,16,
Midnight Window Glow_job43_track1.mp3,103.4,92.0,5.81,10.72,58.05,50.5,796,16,
Midnight Window Glow_job43_track2.mp3,99.4,92.4,5.76,11.03,75.46,50.2,594,16,
Midnight Window Glow_job44_track1.mp3,107.7,66.3,23.88,29.1,69.66,66.8,342,16,
Midnight Window Glow_job44_track2.mp3,89.1,92.5,6.36,10.82,63.85,50.7,377,16,
Midnight Window Glow_job45_track1.mp3,152.0,84.1,8.05,15.75,52.24,59.1,517,16,
Midnight Window Glow_job45_track2.mp3,68.0,58.7,45.33,57.81,104.49,46.0,571,16,
Midnight Window Glow_job46_track1.mp3,152.0,68.0,16.17,24.77,46.44,62.8,554,16,
Midnight Window Glow_job46_track2.mp3,95.7,51.4,37.98,38.59,81.27,62.2,439,16,
Midnight Window Glow_job47_track1.mp3,136.0,63.7,20.52,23.91,52.24,66.1,570,16,
Midnight Window Glow_job47_track2.mp3,107.7,59.2,28.06,31.88,69.66,64.4,492,16,
Midnight Window Glow_job48_track1.mp3,136.0,82.3,9.68,18.76,52.24,58.3,427,16,
Midnight Window Glow_job48_track2.mp3,143.6,68.2,16.85,22.51,52.24,65.6,516,16,
Midnight Window Glow_job49_track1.mp3,92.3,88.9,8.98,16.14,69.66,50.8,611,16,
Midnight Window Glow_job49_track2.mp3,123.0,63.7,22.16,29.44,69.66,64.5,494,16,
Midnight Window Glow_job50_track1.mp3,95.7,82.2,14.12,24.12,92.88,50.5,423,16,
Midnight Window Glow_job50_track2.mp3,129.2,78.0,12.73,19.98,58.05,67.0,363,16,
Midnight Window Glow_job7_track2.mp3,86.1,87.8,10.72,20.15,87.07,50.2,678,16,
Midnight Window Light.mp3,112.3,67.4,21.73,30.57,69.66,62.6,390,16,
Midnight Window Light_job17_track1.mp3,152.0,73.8,13.01,17.36,46.44,68.3,436,16,
Midnight Window Light_job17_track2.mp3,95.7,89.6,8.22,14.08,75.46,50.9,687,16,
Midnight Window Light_job18_track1.mp3,112.3,68.5,21.12,29.35,69.66,62.7,504,16,
Midnight Window Light_job18_track2.mp3,117.5,65.0,22.2,30.28,69.66,62.1,471,16,
Midnight Window Light_job21_track1.mp3,103.4,63.4,26.67,30.57,69.66,64.8,358,16,
Midnight Window Light_job21_track2.mp3,92.3,80.6,15.87,27.72,87.07,52.9,557,16,
Midnight Window Light_job22_track1.mp3,69.8,57.6,45.8,58.11,104.49,49.7,487,16,
Midnight Window Light_job22_track2.mp3,107.7,74.7,17.34,23.33,69.66,68.3,301,16,
Midnight Window Light_job27_track1.mp3,86.1,87.4,10.86,18.71,81.27,51.3,583,16,
Midnight Window Light_job27_track2.mp3,172.3,86.5,5.87,11.94,40.63,58.4,636,16,
Midnight Window Light_job28_track1.mp3,117.5,70.0,19.1,27.9,63.85,62.2,505,16,
Midnight Window Light_job28_track2.mp3,112.3,47.0,35.32,34.45,69.66,63.6,494,16,
Midnight Window Light_job34_track1.mp3,152.0,74.5,12.74,19.76,46.44,65.2,491,16,
Midnight Window Light_job34_track2.mp3,95.7,64.4,28.39,37.55,81.27,61.0,346,16,
Midnight Window Light_job5_track2.mp3,117.5,66.4,21.65,24.42,58.05,67.9,358,16,
Midnight Window Seat.mp3,95.7,90.3,7.47,13.59,75.46,50.5,626,16,
Midnight Window Seat_job1_track2.mp3,136.0,71.7,15.23,20.48,52.24,68.4,358,16,
Midnight Window Seat_job2_track1.mp3,123.0,63.0,22.11,28.75,58.05,64.4,397,16,
Midnight Window Seat_job2_track2.mp3,123.0,74.8,15.16,23.52,58.05,66.1,415,16,
Midnight Window Seat_job6_track1.mp3,86.1,88.1,10.32,20.69,92.88,50.2,664,16,
Midnight Window Seat_job6_track2.mp3,80.7,84.1,14.92,25.82,92.88,49.6,569,16,
Midnight Window Seat_job8_track1.mp3,161.5,87.2,5.87,12.78,46.44,61.9,562,16,
